OBJECTID,BdType,BdVal,PctNum,BdName,DistrictFullName
298,P,0854,854,TUMBLEWEED,Tumbleweed Voting Precinct
299,P,0693,693,RITTENHOUSE,Rittenhouse Voting Precinct
300,P,0912,912,WIKIEUP,Wikieup Voting Precinct
301,P,0659,659,POWDERHORN RANCH,Powderhorn Ranch Voting Precinct
302,P,0717,717,SAHUARO RANCH,Sahuaro Ranch Voting Precinct
303,P,0895,895,WESTBROOK,Westbrook Voting Precinct
304,P,0499,499,MAYFLOWER,Mayflower Voting Precinct
305,P,0916,916,WILLIAMS FIELD,Williams Field Voting Precinct
306,P,0103,103,CANYON SPRINGS,Canyon Springs Voting Precinct
307,P,0740,740,SENNIA VISTA,Sennia Vista Voting Precinct
308,P,0875,875,VINEYARD,Vineyard Voting Precinct
309,P,0689,689,RIO MONTANA,Rio Montana Voting Precinct
310,P,0387,387,HORSESHOE,Horseshoe Voting Precinct
311,P,0292,292,FOXWOOD,Foxwood Voting Precinct
312,P,0485,485,MANISTEE,Manistee Voting Precinct
313,P,0313,313,GILA,Gila Voting Precinct
314,P,0469,469,LOS GATOS,Los Gatos Voting Precinct
315,P,0746,746,SHADY GLEN,Shady Glen Voting Precinct
316,P,0311,311,GETTY,Getty Voting Precinct
317,P,0644,644,PINNACLE PEAK,Pinnacle Peak Voting Precinct
318,P,0899,899,WESTWARD HO,Westward Ho Voting Precinct
319,P,0429,429,LAKEVIEW,Lakeview Voting Precinct
320,P,0344,344,GUERRERO,Guerrero Voting Precinct
321,P,0738,738,SCUDDER,Scudder Voting Precinct
322,P,0886,886,WATER WORKS,Water Works Voting Precinct
323,P,0420,420,KINGS,Kings Voting Precinct
324,P,0671,671,RAINTREE,Raintree Voting Precinct
325,P,0109,109,CAROL ANN,Carol Ann Voting Precinct
326,P,0406,406,JOSHUA TREE,Joshua Tree Voting Precinct
327,P,0790,790,STELLAR,Stellar Voting Precinct
328,P,0079,79,BROOKS FARM,Brooks Farm Voting Precinct
329,P,0582,582,OAKWOOD COUNTRY CLUB,Oakwood Country Club Voting Precinct
330,P,0349,349,HAPPY VALLEY,Happy Valley Voting Precinct
331,P,0083,83,BULLARD,Bullard Voting Precinct
332,P,0518,518,MILLS,Mills Voting Precinct
333,P,0324,324,GOLDEN EAGLE,Golden Eagle Voting Precinct
334,P,0039,39,ASTER,Aster Voting Precinct
335,P,0269,269,ESCUDA,Escuda Voting Precinct
336,P,0558,558,NVP 12,Nvp 12 Voting Precinct
337,P,0769,769,SONOQUI,Sonoqui Voting Precinct
338,P,0107,107,CARL,Carl Voting Precinct
339,P,0745,745,SHADOW ROCK,Shadow Rock Voting Precinct
340,P,0342,342,GROVES,Groves Voting Precinct
341,P,0133,133,CITRUS GARDENS,Citrus Gardens Voting Precinct
342,P,0817,817,SUNSET RIDGE,Sunset Ridge Voting Precinct
343,P,0935,935,ZUNI HILLS,Zuni Hills Voting Precinct
344,P,0862,862,VALENCIA,Valencia Voting Precinct
345,P,0435,435,LARKSPUR,Larkspur Voting Precinct
346,P,0522,522,MISSION,Mission Voting Precinct
347,P,0763,763,SKY HAWK,Sky Hawk Voting Precinct
348,P,0818,818,SUNUP,Sunup Voting Precinct
349,P,0548,548,NICOLET,Nicolet Voting Precinct
350,P,0804,804,SUNCLIFF,Suncliff Voting Precinct
351,P,0225,225,DEVONSHIRE,Devonshire Voting Precinct
352,P,0433,433,LANTANA CANYON,Lantana Canyon Voting Precinct
353,P,0298,298,FULTON RANCH,Fulton Ranch Voting Precinct
354,P,0515,515,MICHELLE,Michelle Voting Precinct
355,P,0723,723,SAN MICHELLE,San Michelle Voting Precinct
356,P,0646,646,PINON,Pinon Voting Precinct
357,P,0614,614,PAPAGO PARK,Papago Park Voting Precinct
358,P,0903,903,WHITE TANK,White Tank Voting Precinct
359,P,0381,381,HOLMES,Holmes Voting Precinct
360,P,0833,833,TIERRA ESTE,Tierra Este Voting Precinct
361,P,0706,706,ROSE,Rose Voting Precinct
362,P,0480,480,MADRID,Madrid Voting Precinct
363,P,0654,654,PONDEROSA,Ponderosa Voting Precinct
364,P,0655,655,PORT ROYALE,Port Royale Voting Precinct
365,P,0678,678,REDSTONE,Redstone Voting Precinct
366,P,0600,600,PALISADES,Palisades Voting Precinct
367,P,0124,124,CHEATHAM,Cheatham Voting Precinct
368,P,0116,116,CAVE CREEK,Cave Creek Voting Precinct
369,P,0215,215,DESERT MIRAGE,Desert Mirage Voting Precinct
370,P,0661,661,PRASADA,Prasada Voting Precinct
371,P,0035,35,ARTESIAN,Artesian Voting Precinct
372,P,0207,207,DESERT BLOSSOM,Desert Blossom Voting Precinct
373,P,0863,863,VALENCIA GROVES,Valencia Groves Voting Precinct
374,P,0218,218,DESERT ROSE,Desert Rose Voting Precinct
375,P,0445,445,LEHI,Lehi Voting Precinct
376,P,0430,430,LAKEWOOD,Lakewood Voting Precinct
